CircuitLength,TrackTemp,AirTemp,prev_stint_length,EventEncoded,DegradationSlope,DegradationBias,DesignedLaps,Humidity,Rainfall,SafetyCar
5000,25.715625,20.50546875,30.0,21,-2.8520999999999987,98.03128888888884,66,67.528125,0,0
4381,27.129850746268666,20.74179104477612,32.0,14,-0.086150802139037,82.7724588235294,70,77.19253731343284,1,0
5807,42.070253164556966,27.28860759493671,18.0,16,-0.2050122807017542,100.14084736842103,53,42.31645569620253,0,0
5513,37.47080745341616,28.148447204968942,16.0,32,-0.1720051948051937,104.73238528138528,56,61.19254658385093,0,0
5000,17.723776223776223,17.825174825174823,22.0,17,-0.3144789473684191,100.25778421052624,50,47.86013986013986,0,0
5807,37.50110497237569,21.69116022099448,18.0,16,-0.4858109890109949,103.31862857142862,53,43.430939226519335,0,0
7004,28.24066666666667,17.873333333333335,16.0,6,-0.2440787878787845,115.07705454545447,44,61.92666666666667,1,0
5412,27.548148148148147,25.09907407407407,19.0,5,-0.2543807017543836,100.3044263157894,57,67.84722222222223,0,0
4318,46.42097902097903,29.42587412587413,28.0,3,0.3036098901098903,71.49610989010988,71,35.00699300699301,1,0
4657,48.957317073170735,36.56585365853658,21.0,27,-0.2230751879699264,91.72931428571434,66,7.109756097560975,0,0
5000,43.22758620689656,25.287068965517243,21.0,0,-0.9207472527472492,99.24648351648348,52,58.55603448275862,0,0
5793,41.201398601398594,28.090909090909093,22.0,15,-0.3531938461538464,90.93346153846154,53,40.12447552447553,0,0
5793,43.13877551020408,27.73469387755102,22.0,15,-7.588314285714284,138.38595238095238,53,33.14965986394558,0,0
5412,28.61042944785276,23.617791411042944,18.0,5,0.6376758241758274,101.38463736263732,57,29.49079754601227,0,0
5793,42.928205128205136,29.330128205128204,22.0,15,-0.3837377450980347,90.93901960784308,53,42.32051282051282,0,0
4259,33.44601226993865,22.73006134969325,30.0,10,-0.3593939393939404,89.82607272727267,72,75.38036809815951,0,0
4318,33.18397435897436,20.96602564102564,22.0,3,-0.2125985552115571,71.83930994152047,71,49.73076923076923,1,0
7004,28.24066666666667,17.873333333333335,15.0,6,-0.149421428571428,113.39148333333334,44,61.92666666666667,1,0
5000,25.715625,20.50546875,0.0,21,-0.2480518796992513,85.10304285714288,66,67.528125,0,0
4361,41.26111111111111,20.762962962962963,30.0,8,-1.3506987012987004,98.56398701298698,70,28.925925925925927,0,0
4381,26.720958083832333,18.55988023952096,30.0,14,0.2096729249011842,83.45142391304348,70,69.31736526946108,1,0
4381,44.91612903225806,28.82387096774194,28.0,14,-0.117462337662338,84.85176623376624,70,46.92258064516129,0,0
5513,35.523529411764706,29.28529411764706,23.0,32,-0.1773458498023707,105.6583695652174,56,49.62352941176471,0,0
4657,41.09610389610391,24.132467532467533,24.0,27,-0.1284729064039397,82.13148275862066,66,63.44155844155844,1,0
5891,50.93152173913043,29.4,20.0,7,-0.1538331479421609,94.51424731182802,52,37.202173913043474,0,0
5000,36.93207547169812,31.46289308176101,13.0,22,-0.7475054945054926,94.42557142857142,57,73.15723270440252,0,0
5513,40.62857142857143,29.96011904761904,17.0,32,-0.3343556390977477,105.6065285714286,56,41.910714285714285,0,0
5412,28.61042944785276,23.617791411042944,22.0,5,0.2515119047619019,102.23633333333332,57,29.49079754601227,0,0
4318,46.42097902097903,29.42587412587413,23.0,3,-0.0707948717948706,73.4825128205128,71,35.00699300699301,1,0
4657,33.838961038961045,22.674025974025977,19.0,27,-0.0921778325123138,82.2900413793103,66,63.07792207792208,0,0
5891,30.02610837438424,18.25320197044335,18.0,7,0.0779285714285692,96.2195285714286,52,59.748768472906406,1,0
5891,27.670068027210885,15.77074829931973,11.0,7,-0.7860439560439619,99.30671428571436,52,67.33333333333333,1,0
5891,27.670068027210885,15.77074829931973,12.0,7,-0.8552021978022,97.01174285714288,52,67.33333333333333,1,0
4318,46.42097902097903,29.42587412587413,32.0,3,-0.2766284829721354,74.47950877192982,71,35.00699300699301,1,0
4361,24.569911504424784,17.797345132743363,19.0,8,-1.2173214285714316,87.101,70,73.38053097345133,1,0
4657,33.838961038961045,22.674025974025977,26.0,27,-0.2015692307692301,82.00803076923077,66,63.07792207792208,0,0
5281,34.31032258064516,28.575483870967748,29.0,1,-0.6597802197802157,96.58729670329664,58,61.68387096774194,0,0
5412,28.61042944785276,23.617791411042944,23.0,5,0.0243896103896115,105.2200909090909,57,29.49079754601227,0,0
5000,54.46171875,30.164843750000003,18.0,13,0.2226862745098048,99.1198039215686,53,47.734375,0,0
4361,30.59320987654321,18.53024691358025,18.0,8,-0.1196941176470558,77.94695588235297,70,63.901234567901234,0,0
5807,37.50110497237569,21.69116022099448,6.0,16,-0.308282142857143,102.53284166666668,53,43.430939226519335,0,0
5000,36.93207547169812,31.46289308176101,18.0,22,-0.3373178534571707,92.8739239766082,57,73.15723270440252,0,0
4381,27.129850746268666,20.74179104477612,32.0,14,-0.1315214667685245,82.6952218487395,70,77.19253731343284,1,0
5303,38.40208333333333,20.62222222222222,8.0,2,-0.2470090909090907,82.45659090909092,58,44.451388888888886,0,0
4909,16.827329192546582,10.62111801242236,6.0,12,-0.1066275862068939,80.1227862068965,63,69.4888198757764,1,0
5891,30.02610837438424,18.25320197044335,19.0,7,-0.2723263157894727,96.4545684210526,52,59.748768472906406,1,0
4381,48.579268292682926,28.808536585365857,28.0,14,-0.1285229838709682,87.42803830645163,70,32.80487804878049,0,0
5000,15.205755395683456,13.09568345323741,27.0,30,-0.4909401468097105,109.18591699604742,58,80.1611510791367,1,0
4318,33.18397435897436,20.96602564102564,32.0,3,-0.1680647826086979,71.77212000000003,71,49.73076923076923,1,0
5412,23.652866242038225,18.22738853503185,19.0,5,-0.1139304871373816,99.11634729064036,57,48.82165605095541,0,0
5412,31.01180124223602,27.43167701863354,15.0,5,-0.2499956043956065,102.0942571428572,57,21.496894409937887,0,0
4909,17.41898734177215,12.899367088607592,34.0,12,-1.2208666666666663,88.07439999999995,63,83.17088607594937,0,0
5807,37.50110497237569,21.69116022099448,15.0,16,-0.2707481940144478,100.08330409356724,53,43.430939226519335,0,0
5412,23.652866242038225,18.22738853503185,20.0,5,-0.2001242236024851,99.72103162055336,57,48.82165605095541,0,0
5807,37.50110497237569,21.69116022099448,22.0,16,-0.2944117647058831,99.94146323529417,53,43.430939226519335,0,0
5000,29.79272727272728,18.63939393939394,12.0,9,-3.019853571428569,141.09144166666667,56,66.06060606060606,0,0
7004,36.08397435897436,21.78717948717949,12.0,6,-0.1012807017543846,117.67463157894736,44,40.51923076923077,0,0
4318,52.025,28.684166666666663,30.0,3,-3.050089285714284,100.54415833333331,71,33.8325,0,0
4309,46.04910179640718,23.01077844311377,14.0,29,-0.1211788537549389,78.62344565217388,71,76.07784431137725,0,0
5793,49.31127819548872,33.1015037593985,19.0,15,-0.7755314685314705,88.81942307692307,53,32.285714285714285,0,0
5412,31.01180124223602,27.43167701863354,18.0,5,-0.1967527472527476,102.12182275132275,57,21.496894409937887,0,0
5000,17.723776223776223,17.825174825174823,19.0,17,-0.405575980392154,101.66096078431369,50,47.86013986013986,0,0
4909,16.827329192546582,10.62111801242236,6.0,12,-0.116638916256155,81.14901379310339,63,69.4888198757764,1,0
4657,33.838961038961045,22.674025974025977,26.0,27,-0.3874176470588203,82.42538235294117,66,63.07792207792208,0,0
4381,44.91612903225806,28.82387096774194,31.0,14,-0.1133038461538471,85.32472615384614,70,46.92258064516129,0,0
5000,36.93207547169812,31.46289308176101,17.0,22,-0.3735073529411776,90.5780588235294,57,73.15723270440252,0,0
5793,42.928205128205136,29.330128205128204,18.0,15,-1.807733333333332,96.15771111111104,53,42.32051282051282,0,0
5807,19.93058823529412,16.717647058823534,0.0,16,-0.5079450549450545,114.46990109890106,53,86.21176470588236,1,0
4361,24.569911504424784,17.797345132743363,18.0,8,-1.7616190476190512,89.46941666666667,70,73.38053097345133,1,0
5807,19.93058823529412,16.717647058823534,9.0,16,-0.1713651960784303,112.24527450980388,53,86.21176470588236,1,0
4657,33.838961038961045,22.674025974025977,25.0,27,-0.1966103896103885,81.79236363636363,66,63.07792207792208,0,0
5000,17.99444444444444,18.05,10.0,17,-0.087644268774704,97.57381027667984,50,47.36111111111112,0,0
5891,30.02610837438424,18.25320197044335,33.0,7,3.47611428571428,96.9160476190476,52,59.748768472906406,1,0
5891,30.02610837438424,18.25320197044335,21.0,7,-0.0897926108374356,98.8438206896551,52,59.748768472906406,1,0
4381,48.579268292682926,28.808536585365857,26.0,14,-0.0713894993895006,84.8658412698413,70,32.80487804878049,0,0
4361,30.59320987654321,18.53024691358025,30.0,8,-0.0253002189381483,76.43751724137928,70,63.901234567901234,0,0
4304,45.63947368421053,25.547368421052628,29.0,18,-0.8337937062937061,91.98261538461536,71,23.55263157894737,0,0
5891,50.93152173913043,29.4,26.0,7,-0.3900134158926714,97.25728070175435,52,37.202173913043474,0,0
5000,16.360204081632652,9.499999999999998,19.0,11,-0.1611391941391945,99.6744761904762,60,59.40408163265305,1,0
5412,27.627819548872186,20.53834586466165,16.0,5,-0.2043540903540896,99.48878835978836,57,54.517293233082704,0,0
7004,36.08397435897436,21.78717948717949,14.0,6,-0.1578499999999958,116.0855,44,40.51923076923077,0,0
7004,36.08397435897436,21.78717948717949,16.0,6,-0.2112528379772935,116.75198245614033,44,40.51923076923077,0,0
5412,31.01180124223602,27.43167701863354,18.0,5,-0.2860848484848455,102.88698181818178,57,21.496894409937887,0,0
4381,26.720958083832333,18.55988023952096,24.0,14,0.1504633642930871,85.22467251461987,70,69.31736526946108,1,0
4381,44.91612903225806,28.82387096774194,24.0,14,-0.0246259740259739,85.96347563025212,70,46.92258064516129,0,0
5000,23.469291338582668,20.947244094488195,28.0,24,-0.4476941844919786,70.46631907308375,87,58.169291338582674,0,0
4309,46.04910179640718,23.01077844311377,21.0,29,-3.952500000000013,87.99580000000002,71,76.07784431137725,0,0
4318,32.05424836601307,22.398039215686275,23.0,3,-0.1349269230769228,72.00152307692308,71,52.04575163398693,1,0
4361,41.26111111111111,20.762962962962963,23.0,8,-0.5304600437876283,91.40767487684728,70,28.925925925925927,0,0
